Dominant,Promiscuous,Wanting To Be Boss,Rude,Disrespectful,Vulgar,Abuse Spouse,Abuse Children,Cheating on Spouse,Emotionally Cold,Initiating Fights,Not Taking Action When Significant Others Threatened,Not Wanting Children,Not Cleaning House,Spendthrift on Cosmetics and Clothing,Not Caring about Appearance,Gender,Gender Others,Age,NativeEng
1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,,40,1
4,3,2,4,3,3,5,6,4,3,2,3,4,4,3,3,2,,24,1
1,1,3,1,1,5,1,7,5,1,1,1,4,3,1,4,2,,34,2
1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,,30,1
5,6,3,6,2,7,5,7,6,3,6,6,5,6,2,2,1,,37,2
1,1,1,3,2,1,2,5,3,2,2,2,1,2,2,1,2,,20,1
2,7,3,5,6,6,7,5,1,1,6,4,1,7,1,4,2,,35,1
7,7,7,7,7,7,6,6,7,7,7,6,7,7,6,7,2,,30,1
4,2,3,2,3,3,2,4,1,2,5,2,5,4,2,5,1,,32,1
5,7,6,6,6,5,6,5,7,6,5,4,5,4,4,5,2,,27,1
3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,4,2,,31,1
1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,,69,1
1,1,1,4,1,1,1,1,1,4,4,1,1,1,1,1,1,,53,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,30,1
2,1,1,2,3,3,1,7,4,2,1,7,3,1,1,5,2,,21,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,38,1
4,3,4,6,4,6,4,5,7,7,5,6,6,5,5,6,2,,29,1
5,5,3,4,3,4,3,4,5,5,4,3,5,4,4,5,2,,27,1
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,,30,1
5,5,6,6,6,5,5,5,6,6,6,5,5,5,5,6,1,,26,1
